2024-11-27 11:36:22,855 - sd_express_tester - INFO - ==================================================
2024-11-27 11:36:22,855 - sd_express_tester - INFO - Application Started
2024-11-27 11:36:22,855 - sd_express_tester - INFO - Log file: C:\github\sd_express_tester\logs\sd_express_tester_20241127_113622.log
2024-11-27 11:36:22,855 - sd_express_tester - INFO - Log level: INFO
2024-11-27 11:36:22,855 - sd_express_tester - INFO - ==================================================
2024-11-27 11:36:22,880 - utils.config - INFO - Configuration file loaded: config.yaml
2024-11-27 11:36:22,880 - sd_express_tester - INFO - Log level updated to: INFO
2024-11-27 11:36:22,880 - utils.config - INFO - Language set to: zh_TW
2024-11-27 11:36:22,892 - sd_express_tester - INFO - Starting SD Express Test Tool
2024-11-27 11:36:22,892 - sd_express_tester - INFO - Running in GUI mode
2024-11-27 11:36:22,901 - gui.main_window - INFO - Initializing main window
2024-11-27 11:36:22,905 - core.controller - INFO - Initializing SD Controller
2024-11-27 11:36:22,905 - core.controller - INFO - Initializing SD Controller
2024-11-27 11:36:22,918 - gui.main_window - INFO - Card detection timer started
2024-11-27 11:36:23,210 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:23,314 - gui.main_window - INFO - Card status changed: None -> No Card
2024-11-27 11:36:24,186 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:25,174 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:26,175 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:27,177 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:28,182 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:29,181 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:30,178 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:31,179 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:32,175 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:33,176 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:34,177 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:35,178 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:36,184 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:37,189 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:38,197 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:39,181 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:40,178 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:41,183 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:42,409 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:43,172 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:44,181 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:45,173 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:46,175 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:47,175 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:48,185 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:49,173 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:50,179 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:51,182 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:36:52,179 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
